Direction,Timestamp,Hex Data,Parsed Info,Error
RX,2025-11-21 15:16:15.522,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 35 35 36 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 35 33 30 2c 4e 2c 31 32 37 30 32 2e 33 30 36 30 35 2c 45 2c 30 2e 32 33 34 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 46 2f 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0a 24 50 50 50 0a 05 00","물 속, 0.0°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-21 15:16:16.533,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 36 31 36 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 31 38 37 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 39 2c 45 2c 30 2e 31 32 30 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 33 2f 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 50 50 50 50 0a 00","물 속, 0.0°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-21 15:16:17.553,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 36 31 37 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 31 37 38 2c 4e 2c 31 32 37 30 32 2e 33 30 38 37 39 2c 45 2c 30 2e 30 34 33 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 36 2f 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 01 04 10 50 50 50 2b 00","물 속, 0.0°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-21 15:16:18.575,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 36 31 38 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 31 36 39 2c 4e 2c 31 32 37 30 32 2e 33 30 38 38 30 2c 45 2c 30 2e 30 32 39 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 33 2f 00 00 00 00 00 00 00 00 00 00 00 01 42 2b 25 c5 00 00 50 50 06 12 0c 0d 0c 0c 10 18 18 1a 23 27 2a 31 1e 50 2d 50 50 28 2e 2d 50 2a 2d 23 50 26 30 2b 22 23 2d 2d 2b 26 27 22 27 29 24 27 2d 20 26 26 25 25 24 28 27 2e 28 2c 27 20 2e 30 26 20 2d 25 25 2c 27 50 28 2b 26 20 25 2d 21 2d 25 2b 2e 2d 28 28 22 26 30 2a 50 00","물 속, 0.0°C, 스캔깊이 42.79m, 675kHz",false
RX,2025-11-21 15:16:19.609,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 36 31 39 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 31 36 35 2c 4e 2c 31 32 37 30 32 2e 33 30 38 38 31 2c 45 2c 30 2e 30 34 38 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 38 2f 00 00 00 00 00 00 00 00 00 00 00 01 42 42 c1 0c 00 00 50 08 05 17 0f 12 0e 11 18 2a 1e 50 22 2b 50 25 30 30 28 2a 2c 50 2a 30 2a 29 28 50 1d 2a 29 2b 29 26 2b 26 28 22 2b 24 23 23 1c 2e 27 31 24 29 20 25 30 28 24 2a 26 30 26 20 25 2a 28 50 24 50 2c 26 31 27 2a 28 24 2b 26 2b 27 26 25 26 26 29 24 27 28 2a 2b 29 50 00","물 속, 0.0°C, 스캔깊이 48.69m, 675kHz",false
RX,2025-11-21 15:16:20.638,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 36 31 39 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 31 36 35 2c 4e 2c 31 32 37 30 32 2e 33 30 38 38 31 2c 45 2c 30 2e 30 34 38 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 38 2f 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 00 01 01 01 07 07 05 04 00 00 00 00 00 00 12 16 0e 2b 18 50 50 50 50 50 21 0f 10 00","물 속, 0.0°C, 스캔깊이 1.48m, 675kHz",false
TX,2025-11-21 15:16:21.014,"03 00 03 0e","SET_SCAN_RATE: 14Hz",false
RX,2025-11-21 15:16:21.078,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 36 32 30 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 31 35 36 2c 4e 2c 31 32 37 30 32 2e 33 30 38 38 31 2c 45 2c 30 2e 30 33 39 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 34 2f 00 00 00 00 00 00 00 00 00 00 00 01 3f bc da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 05 05 04 00 00 00 00 00 00 00 06 0e 12 50 2a 12 19 50 50","물 속, 0.0°C, 스캔깊이 1.48m, 675kHz",false
RX,2025-11-21 15:16:21.186,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 36 32 30 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 31 35 36 2c 4e 2c 31 32 37 30 32 2e 33 30 38 38 31 2c 45 2c 30 2e 30 33 39 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 34 2f 00 00 00 00 00 00 00 00 00 00 00 01 40 3c da 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 06 07 00 00 00 02 2c 20 1e 50 50 1f 13 03 07 07 05 07 07 05 04 05 02 05 03 01 02 02 03 03 04 08 02 02 03 1a 1c 0d 0c 07 03 05 02 03 01 04 06 04 06 07 08 02 0a 09 00","물 속, 0.0°C, 스캔깊이 2.95m, 675kHz",false
RX,2025-11-21 15:16:21.295,"b4 00 01 00 00 00 00 24 47 4e 52 4d 43 2c 30 36 31 36 32 30 2e 30 30 2c 41 2c 33 37 33 32 2e 36 38 31 35 36 2c 4e 2c 31 32 37 30 32 2e 33 30 38 38 31 2c 45 2c 30 2e 30 33 39 2c 2c 32 31 31 31 32 35 2c 2c 2c 41 2c 56 2a 31 34 2f 00 00 00 00 00 00 00 00 00 00 00 01 41 f0 00 00 00 00 00 05 50 0a 06 06 12 06 0d 0d 0a 10 15 19 16 1e 1a 26 2c 21 28 31 50 26 1e 2b 50 28 1b 50 30 24 27 50 2a 22 28 30 29 2b 23 50 22 22 26 20 50 21 50 25 24 27 50 27 29 26 50 50 2b 24 2f 31 2d 2d 29 50 50 24 50 2e 25 27 2b 26 29 2e 2f 27 2c 2c 2a 2a 22 26 25 2e 2f 2a","물 속, 0.0°C, 스캔깊이 30.00m, 675kHz",false
